table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Trinity County, Texas","14,585","14,675","14,729","14,686","14,372","14,445","14,298","14,539","14,543","14,677","14,688","14,651"
".Tyler County, Texas","21,766","21,760","21,764","21,674","21,504","21,508","21,468","21,370","21,423","21,517","21,609","21,672"
".Upshur County, Texas","39,309","39,311","39,377","39,731","39,918","39,757","40,280","40,317","40,771","41,069","41,179","41,753"
".Upton County, Texas","3,355","3,349","3,338","3,284","3,263","3,386","3,482","3,652","3,690","3,658","3,637","3,657"
".Uvalde County, Texas","26,405","26,405","26,443","26,588","26,746","26,904","27,022","26,949","27,081","27,043","26,787","26,741"
".Val Verde County, Texas","48,879","48,879","48,971","48,972","48,976","49,044","48,845","48,891","48,911","49,028","48,988","49,025"
".Van Zandt County, Texas","52,579","52,552","52,579","52,487","52,207","52,328","52,781","53,430","54,367","55,163","55,966","56,590"
".Victoria County, Texas","86,793","86,793","86,883","87,557","89,116","90,066","91,042","92,136","92,402","92,045","91,878","92,084"
".Walker County, Texas","67,861","67,860","68,241","68,409","68,609","69,404","70,076","70,836","71,845","72,816","73,136","72,971"
".Waller County, Texas","43,205","43,274","43,519","44,101","44,335","45,408","46,765","48,641","50,046","51,717","53,512","55,246"
".Ward County, Texas","10,658","10,658","10,594","10,671","10,823","11,205","11,571","11,631","11,571","11,383","11,709","11,998"
".Washington County, Texas","33,718","33,699","33,708","33,966","33,930","34,201","34,403","34,836","34,740","34,861","35,496","35,882"
".Webb County, Texas","250,304","250,304","251,370","255,935","260,595","264,430","267,465","269,865","272,301","273,691","275,120","276,652"
".Wharton County, Texas","41,280","41,280","41,281","41,287","41,136","41,122","41,095","41,383","41,609","41,837","41,499","41,556"
".Wheeler County, Texas","5,410","5,406","5,387","5,446","5,589","5,716","5,696","5,658","5,518","5,300","5,158","5,056"
".Wichita County, Texas","131,500","131,659","131,794","130,803","131,701","132,192","132,646","130,961","131,295","131,689","131,807","132,230"
".Wilbarger County, Texas","13,535","13,535","13,509","13,452","13,289","13,204","12,988","13,055","12,880","12,683","12,777","12,769"
".Willacy County, Texas","22,134","22,136","22,225","22,167","22,208","22,019","21,935","21,863","21,761","21,508","21,450","21,358"
".Williamson County, Texas","422,679","422,504","426,287","442,031","455,750","470,017","487,913","507,133","527,622","546,251","566,463","590,551"
".Wilson County, Texas","42,918","42,905","43,051","43,667","44,353","45,217","46,145","47,178","48,212","49,211","50,196","51,070"
".Winkler County, Texas","7,110","7,110","7,085","7,165","7,371","7,635","7,819","8,027","7,915","7,605","7,778","8,010"
".Wise County, Texas","59,127","59,115","59,115","59,967","60,424","61,019","61,702","62,857","64,478","65,848","68,284","69,984"
".Wood County, Texas","41,964","41,959","41,977","42,092","42,383","42,346","42,764","43,117","43,753","44,263","45,157","45,539"
".Yoakum County, Texas","7,879","7,879","7,851","7,971","8,055","8,222","8,398","8,644","8,652","8,557","8,590","8,713"
".Young County, Texas","18,550","18,550","18,522","18,355","18,278","18,354","18,274","18,163","18,098","17,922","17,986","18,010"
".Zapata County, Texas","14,018","14,018","14,087","14,227","14,276","14,385","14,376","14,493","14,446","14,254","14,149","14,179"
".Zavala County, Texas","11,677","11,677","11,729","11,875","12,014","12,195","12,243","12,310","12,121","11,957","11,969","11,840"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-48)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
